GeneID,Symbol,Description,Synonyms,GeneType,EnsemblGeneID,Status,ChrAcc,ChrStart,ChrStop,Orientation,Length,GOFunctionID,GOProcessID,GOComponentID,GOFunction,GOProcess,GOComponent
26829,RNU5E-1,"RNA, U5E small nuclear 1",RNU5E|U5E,snRNA,ENSG00000199347,active,NC_000001.11,11908154,11908272,positive,119,,GO:0000244///GO:0000353,GO:0005682///GO:0046540,,spliceosomal tri-snRNP complex assembly///formation of quadruple SL/U4/U5/U6 snRNP,U5 snRNP///U4/U6 x U5 tri-snRNP complex
100616438,MIR4632,microRNA 4632,,ncRNA,ENSG00000263676,active,NC_000001.11,12191713,12191773,positive,61,GO:1903231,GO:0035195///GO:0036120///GO:1904706,GO:0005615///GO:1903561,mRNA base-pairing translational repressor activity,miRNA-mediated gene silencing///cellular response to platelet-derived growth factor stimulus///negative regulation of vascular associated smooth muscle cell proliferation,extracellular space///extracellular vesicle
677885,SNORA59A,"small nucleolar RNA, H/ACA box 59A",ACA59,snoRNA,ENSG00000239149,active,NC_000001.11,12507246,12507397,positive,152,,,,,,
10630,PDPN,podoplanin,AGGRUS|D2-40|GP36|GP40|Gp38|HT1A-1|OTS8|PA2.26|T1A|T1A-2|T1A2|TI1A,protein-coding,ENSG00000162493,active,NC_000001.11,13583757,13617957,positive,3142,GO:0005102///GO:0005372///GO:0005515///GO:0008517///GO:0015171///GO:0015250///GO:0019956///GO:0051087,GO:0000902///GO:0001946///GO:0006833///GO:0006865///GO:0007266///GO:0008285///GO:0008360///GO:0010718///GO:0015884///GO:0016477///GO:0030168///GO:0030324///GO:0030335///GO:0043066///GO:0044319///GO:0048535///GO:0055093///GO:0060838///GO:0070252///GO:0090091///GO:0098609///GO:1900024///GO:1901731///GO:1904328///GO:2000392,GO:0001726///GO:0005739///GO:0005829///GO:0005886///GO:0016020///GO:0016323///GO:0016324///GO:0030027///GO:0030054///GO:0030175///GO:0031258///GO:0031410///GO:0031527///GO:0031528///GO:0032587///GO:0042995///GO:0045121///GO:0061851///GO:0070161///GO:0097197,signaling receptor binding///water transmembrane transporter activity///protein binding///folic acid transmembrane transporter activity///amino acid transmembrane transporter activity///water channel activity///chemokine binding///chaperone binding,"cell morphogenesis///lymphangiogenesis///water transport///amino acid transport///Rho protein signal transduction///negative regulation of cell population proliferation///regulation of cell shape///positive regulation of epithelial to mesenchymal transition///folic acid transport///cell migration///platelet activation///lung development///positive regulation of cell migration///negative regulation of apoptotic process///wound healing, spreading of cells///lymph node development///response to hyperoxia///lymphatic endothelial cell fate commitment///actin-mediated cell contraction///positive regulation of extracellular matrix disassembly///cell-cell adhesion///regulation of substrate adhesion-dependent cell spreading///positive regulation of platelet aggregation///regulation of myofibroblast contraction///regulation of lamellipodium morphogenesis",ruffle///mitochondrion///cytosol///plasma membrane///membrane///basolateral plasma membrane///apical plasma membrane///lamellipodium///cell junction///filopodium///lamellipodium membrane///cytoplasmic vesicle///filopodium membrane///microvillus membrane///ruffle membrane///cell projection///membrane raft///leading edge of lamellipodium///anchoring junction///tetraspanin-enriched microdomain
7799,PRDM2,PR/SET domain 2,HUMHOXY1|KMT8|KMT8A|MTB-ZF|RIZ|RIZ1|RIZ2,protein-coding,ENSG00000116731,active,NC_000001.11,13698874,13825079,positive,12003,GO:0000977///GO:0000981///GO:0001227///GO:0001228///GO:0003700///GO:0008270///GO:0042054///GO:0043565,GO:0000122///GO:0006355///GO:0006357///GO:0008340///GO:0010468///GO:0016571///GO:0045944,GO:0005634///GO:0005654///GO:0005794,"RNA polymerase II transcription regulatory region sequence-specific DNA binding///DNA-binding transcription factor activity, RNA polymerase II-specific///DNA-binding transcription repressor activity, RNA polymerase II-specific///DNA-binding transcription activator activity, RNA polymerase II-specific///DNA-binding transcription factor activity///zinc ion binding///histone methyltransferase activity///sequence-specific DNA binding",negative regulation of transcription by RNA polymerase II///regulation of DNA-templated transcription///regulation of transcription by RNA polymerase II///determination of adult lifespan///regulation of gene expression///histone methylation///positive regulation of transcription by RNA polymerase II,nucleus///nucleoplasm///Golgi apparatus
55092,TMEM51,transmembrane protein 51,C1orf72,protein-coding,ENSG00000171729,active,NC_000001.11,15152418,15220478,positive,2808,GO:0003674///GO:0005515,GO:0008150,GO:0005575///GO:0016020,molecular_function///protein binding,biological_process,cellular_component///membrane
101927441,EFHD2-AS1,EFHD2 antisense RNA 1,,ncRNA,,active,NC_000001.11,15388358,15413823,negative,7078,,,,,,
63036,CELA2A,chymotrypsin like elastase 2A,AOMS4|ELA2A|PE-1,protein-coding,ENSG00000142615,active,NC_000001.11,15456732,15472091,positive,916,GO:0004175///GO:0004252///GO:0005515///GO:0017171,GO:0006508///GO:0032868///GO:0050796///GO:0090330///GO:1901143,GO:0005576///GO:0005615///GO:0005829///GO:0036457,endopeptidase activity///serine-type endopeptidase activity///protein binding///serine hydrolase activity,proteolysis///response to insulin///regulation of insulin secretion///regulation of platelet aggregation///insulin catabolic process,extracellular region///extracellular space///cytosol///keratohyalin granule
54751,FBLIM1,filamin binding LIM protein 1,CAL|FBLP-1|FBLP1,protein-coding,ENSG00000162458,active,NC_000001.11,15756170,15786590,positive,5000,GO:0005515///GO:0031005///GO:0046872,GO:0008360///GO:0033623///GO:0098609,GO:0001650///GO:0001725///GO:0005737///GO:0005829///GO:0005925///GO:0030054///GO:0071944,protein binding///filamin binding///metal ion binding,regulation of cell shape///regulation of integrin activation///cell-cell adhesion,fibrillar center///stress fiber///cytoplasm///cytosol///focal adhesion///cell junction///cell periphery
27129,HSPB7,heat shock protein family B (small) member 7,cvHSP,protein-coding,ENSG00000173641,active,NC_000001.11,16014028,16019594,negative,3368,GO:0005515///GO:0008022///GO:0031005,GO:0006986///GO:0007507///GO:0008016,GO:0005634///GO:0005654///GO:0005737///GO:0015030///GO:0015629///GO:0016235,protein binding///protein C-terminus binding///filamin binding,response to unfolded protein///heart development///regulation of heart contraction,nucleus///nucleoplasm///cytoplasm///Cajal body///actin cytoskeleton///aggresome
1187,CLCNKA,chloride voltage-gated channel Ka,CLCK1|ClC-K1|hClC-Ka,protein-coding,ENSG00000186510,active,NC_000001.11,16022036,16034050,positive,2491,GO:0005247///GO:0042802///GO:0046872,GO:0006821///GO:0030321///GO:0034765///GO:0070293///GO:1902476,GO:0005886///GO:0034707,voltage-gated chloride channel activity///identical protein binding///metal ion binding,chloride transport///transepithelial chloride transport///regulation of ion transmembrane transport///renal absorption///chloride transmembrane transport,plasma membrane///chloride channel complex
1969,EPHA2,EPH receptor A2,ARCC2|CTPA|CTPP1|CTRCT6|ECK,protein-coding,ENSG00000142627,active,NC_000001.11,16124337,16156104,negative,4270,GO:0001618///GO:0004714///GO:0005005///GO:0005515///GO:0005524///GO:0019838///GO:0045296///GO:0140677,GO:0001501///GO:0001570///GO:0001649///GO:0002043///GO:0006954///GO:0007155///GO:0007169///GO:0007275///GO:0007411///GO:0008630///GO:0010591///GO:0014028///GO:0016477///GO:0016525///GO:0018108///GO:0021915///GO:0030216///GO:0030316///GO:0030335///GO:0032682///GO:0033598///GO:0033628///GO:0033674///GO:0036342///GO:0043491///GO:0043535///GO:0045765///GO:0046058///GO:0046718///GO:0046849///GO:0048013///GO:0048320///GO:0048870///GO:0050830///GO:0051898///GO:0060035///GO:0060326///GO:0060444///GO:0070309///GO:0070372///GO:0070848///GO:0072659///GO:0090630///GO:1901491///GO:1903078///GO:1903348///GO:1904238,GO:0005886///GO:0005925///GO:0009986///GO:0030027///GO:0031256///GO:0031258///GO:0032587///GO:0043005///GO:0043235///GO:0070160,virus receptor activity///transmembrane receptor protein tyrosine kinase activity///transmembrane-ephrin receptor activity///protein binding///ATP binding///growth factor binding///cadherin binding///molecular function activator activity,skeletal system development///vasculogenesis///osteoblast differentiation///blood vessel endothelial cell proliferation involved in sprouting angiogenesis///inflammatory response///cell adhesion///transmembrane receptor protein tyrosine kinase signaling pathway///multicellular organism development///axon guidance///intrinsic apoptotic signaling pathway in response to DNA damage///regulation of lamellipodium assembly///notochord formation///cell migration///negative regulation of angiogenesis///peptidyl-tyrosine phosphorylation///neural tube development///keratinocyte differentiation///osteoclast differentiation///positive regulation of cell migration///negative regulation of chemokine production///mammary gland epithelial cell proliferation///regulation of cell adhesion mediated by integrin///positive regulation of kinase activity///post-anal tail morphogenesis///protein kinase B signaling///regulation of blood vessel endothelial cell migration///regulation of angiogenesis///cAMP metabolic process///viral entry into host cell///bone remodeling///ephrin receptor signaling pathway///axial mesoderm formation///cell motility///defense response to Gram-positive bacterium///negative regulation of protein kinase B signaling///notochord cell development///cell chemotaxis///branching involved in mammary gland duct morphogenesis///lens fiber cell morphogenesis///regulation of ERK1 and ERK2 cascade///response to growth factor///protein localization to plasma membrane///activation of GTPase activity///negative regulation of lymphangiogenesis///positive regulation of protein localization to plasma membrane///positive regulation of bicellular tight junction assembly///pericyte cell differentiation,plasma membrane///focal adhesion///cell surface///lamellipodium///leading edge membrane///lamellipodium membrane///ruffle membrane///neuron projection///receptor complex///tight junction
26871,RNU1-1,"RNA, U1 small nuclear 1",HSD1|HU1-1|RNU1|RNU1A|RNU1A3|RNU1G4|Rnu1a1|U1|U1A1,snRNA,ENSG00000206652,active,NC_000001.11,16514122,16514285,negative,164,,,,,,
100132147,LINC01783,long intergenic non-protein coding RNA 1783,,ncRNA,ENSG00000233421,active,NC_000001.11,16533891,16535652,negative,1546,GO:0030533,GO:0006412,,triplet codon-amino acid adaptor activity,translation,
26869,RNU1-3,"RNA, U1 small nuclear 3",HSD4|RNU1G3,snRNA,ENSG00000207513,active,NC_000001.11,16666785,16666948,negative,164,,,,,,
6060,RNU1-4,"RNA, U1 small nuclear 4",HSD2|HSD5|HSD6|HSD7|RNU1|RNU1D2|RNU1E2|RNU1F1|RNU1G1|RNU1G2|U1B2|U1D2|U1E2|U1F,snRNA,ENSG00000207389,active,NC_000001.11,16740516,16740679,positive,164,GO:0030627,GO:0000395,GO:0005685,pre-mRNA 5'-splice site binding,mRNA 5'-splice site recognition,U1 snRNP
112267871,LOC112267871,uncharacterized LOC112267871,,ncRNA,ENSG00000228549,active,NC_000001.11,16872226,16874096,positive,1292,GO:0030533,GO:0006412,,triplet codon-amino acid adaptor activity,translation,
7193,TRE-TTC3-1,tRNA-Glu (anticodon TTC) 3-1,TRE|TRNAE1|TRNE,tRNA,,active,NC_000001.11,16872583,16872654,positive,72,,,,,,
105376805,LOC105376805,uncharacterized LOC105376805,,ncRNA,ENSG00000238142,active,NC_000001.11,16888538,16889666,negative,630,,,,,,
26870,RNU1-2,"RNA, U1 small nuclear 2",RNU1C1|RNU1C2|U1C1|U1C21,snRNA,ENSG00000207005,active,NC_000001.11,16895980,16896143,positive,164,,,,,,
29943,PADI1,peptidyl arginine deiminase 1,HPAD10|PAD1|PDI|PDI1,protein-coding,ENSG00000142623,active,NC_000001.11,17205125,17246007,positive,5857,GO:0004668///GO:0005509,GO:0016570,GO:0005634///GO:0005654///GO:0005737///GO:0005829,protein-arginine deiminase activity///calcium ion binding,histone modification,nucleus///nucleoplasm///cytoplasm///cytosol
51702,PADI3,peptidyl arginine deiminase 3,PAD3|PDI3|UHS1,protein-coding,ENSG00000142619,active,NC_000001.11,17249079,17284233,positive,5148,GO:0004668///GO:0005509///GO:0005515///GO:0042802,GO:0016570,GO:0005634///GO:0005737///GO:0005829,protein-arginine deiminase activity///calcium ion binding///protein binding///identical protein binding,histone modification,nucleus///cytoplasm///cytosol
105376809,LOC105376809,uncharacterized LOC105376809,,ncRNA,,active,NC_000001.11,18000470,18010489,negative,1516,,,,,,
127707,KLHDC7A,kelch domain containing 7A,,protein-coding,ENSG00000179023,active,NC_000001.11,18480930,18485999,positive,5070,,,GO:0016020,,,membrane
51154,MRTO4,"MRT4 homolog, ribosome maturation factor",C1orf33|MRT4|dJ657E11.4,protein-coding,ENSG00000053372,active,NC_000001.11,19251799,19260128,positive,2440,GO:0003723///GO:0005515,GO:0000027///GO:0000956///GO:0006364///GO:0042273,GO:0005730///GO:0005737///GO:0030687,RNA binding///protein binding,ribosomal large subunit assembly///nuclear-transcribed mRNA catabolic process///rRNA processing///ribosomal large subunit biogenesis,"nucleolus///cytoplasm///preribosome, large subunit precursor"
644068,RPS14P3,ribosomal protein S14 pseudogene 3,RPS14_1_16,pseudo,,active,NC_000001.11,19607807,19608644,positive,838,,,,,,
30814,PLA2G2E,phospholipase A2 group IIE,GIIE sPLA2|sPLA2-IIE,protein-coding,ENSG00000188784,active,NC_000001.11,19920009,19923617,negative,785,GO:0004623///GO:0005509///GO:0005515///GO:0005543///GO:0047498,GO:0006644///GO:0006954///GO:0016042///GO:0034374///GO:0046470///GO:0046471///GO:0050482,GO:0005576///GO:0005737,phospholipase A2 activity///calcium ion binding///protein binding///phospholipid binding///calcium-dependent phospholipase A2 activity,phospholipid metabolic process///inflammatory response///lipid catabolic process///low-density lipoprotein particle remodeling///phosphatidylcholine metabolic process///phosphatidylglycerol metabolic process///arachidonic acid secretion,extracellular region///cytoplasm
5320,PLA2G2A,phospholipase A2 group IIA,MOM1|PLA2|PLA2B|PLA2L|PLA2S|PLAS1|sPLA2,protein-coding,ENSG00000188257,active,NC_000001.11,19975431,19980434,negative,1027,GO:0004623///GO:0005509///GO:0005543///GO:0047498,GO:0006644///GO:0006954///GO:0010744///GO:0016042///GO:0019835///GO:0034374///GO:0036335///GO:0046337///GO:0046470///GO:0046473///GO:0050482///GO:0050729///GO:0050830///GO:0070374///GO:1902563,GO:0005576///GO:0005615///GO:0005741///GO:0005783///GO:0005789///GO:0005886///GO:0030141///GO:0048471///GO:0070062,phospholipase A2 activity///calcium ion binding///phospholipid binding///calcium-dependent phospholipase A2 activity,phospholipid metabolic process///inflammatory response///positive regulation of macrophage derived foam cell differentiation///lipid catabolic process///cytolysis///low-density lipoprotein particle remodeling///intestinal stem cell homeostasis///phosphatidylethanolamine metabolic process///phosphatidylcholine metabolic process///phosphatidic acid metabolic process///arachidonic acid secretion///positive regulation of inflammatory response///defense response to Gram-positive bacterium///positive regulation of ERK1 and ERK2 cascade///regulation of neutrophil activation,extracellular region///extracellular space///mitochondrial outer membrane///endoplasmic reticulum///endoplasmic reticulum membrane///plasma membrane///secretory granule///perinuclear region of cytoplasm///extracellular exosome
26279,PLA2G2D,phospholipase A2 group IID,PLA2IID|SPLASH|sPLA2-IID|sPLA2S,protein-coding,ENSG00000117215,active,NC_000001.11,20111939,20119566,negative,2681,GO:0004623///GO:0005509///GO:0005543///GO:0008201///GO:0043395///GO:0047498,GO:0002361///GO:0002864///GO:0006644///GO:0006954///GO:0016042///GO:0042130///GO:0046337///GO:0046470///GO:0046471///GO:0050482,GO:0005576,phospholipase A2 activity///calcium ion binding///phospholipid binding///heparin binding///heparan sulfate proteoglycan binding///calcium-dependent phospholipase A2 activity,"CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation///regulation of acute inflammatory response to antigenic stimulus///phospholipid metabolic process///inflammatory response///lipid catabolic process///negative regulation of T cell proliferation///phosphatidylethanolamine metabolic process///phosphatidylcholine metabolic process///phosphatidylglycerol metabolic process///arachidonic acid secretion",extracellular region
339505,LINC01141,long intergenic non-protein coding RNA 1141,,ncRNA,,active,NC_000001.11,20359801,20428794,negative,3783,,,,,,
112268222,LOC112268222,,,,,discontinued,NC_000001.11,20735360,20744479,positive,6244,,,,,,
50809,HP1BP3,heterochromatin protein 1 binding protein 3,HP1-BP74|HP1BP74,protein-coding,ENSG00000127483,active,NC_000001.11,20740266,20787808,negative,10783,GO:0003677///GO:0005515///GO:0031491,GO:0006334///GO:0006355///GO:0042127///GO:0070828///GO:0071456///GO:0097298,GO:0000786///GO:0005634///GO:0005694///GO:0016607,DNA binding///protein binding///nucleosome binding,nucleosome assembly///regulation of DNA-templated transcription///regulation of cell population proliferation///heterochromatin organization///cellular response to hypoxia///regulation of nucleus size,nucleosome///nucleus///chromosome///nuclear speck
105376832,LOC105376832,uncharacterized LOC105376832,,ncRNA,,active,NC_000001.11,21412667,21416543,negative,594,,,,,,
84224,NBPF3,NBPF member 3,AE2,protein-coding,ENSG00000142794,active,NC_000001.11,21436775,21485005,positive,6127,,,GO:0005737,,,cytoplasm
10136,CELA3A,chymotrypsin like elastase 3A,ELA3|ELA3A,protein-coding,ENSG00000142789,active,NC_000001.11,22001657,22012542,positive,906,GO:0004252///GO:0005515,GO:0006508,GO:0005615,serine-type endopeptidase activity///protein binding,proteolysis,extracellular space
54361,WNT4,Wnt family member 4,SERKAL|WNT-4,protein-coding,ENSG00000162552,active,NC_000001.11,22117308,22143981,negative,6322,GO:0003714///GO:0005109///GO:0005125///GO:0048018,GO:0001658///GO:0001822///GO:0001837///GO:0001838///GO:0001889///GO:0008543///GO:0008584///GO:0008585///GO:0009267///GO:0010629///GO:0010894///GO:0022407///GO:0030182///GO:0030237///GO:0030325///GO:0030336///GO:0030501///GO:0032349///GO:0032967///GO:0033080///GO:0038030///GO:0040037///GO:0042445///GO:0043547///GO:0045165///GO:0045596///GO:0045669///GO:0045836///GO:0045892///GO:0045893///GO:0048599///GO:0051145///GO:0051496///GO:0051894///GO:0060008///GO:0060070///GO:0060126///GO:0060129///GO:0060231///GO:0060748///GO:0061045///GO:0061180///GO:0061184///GO:0061205///GO:0061369///GO:0071560///GO:0072033///GO:0072034///GO:0072162///GO:0072174///GO:0072273///GO:0097190///GO:0140013///GO:1904238///GO:2000019///GO:2000066///GO:2000180///GO:2000225///GO:2001234,GO:0005576///GO:0005615///GO:0005737///GO:0005788///GO:0005796///GO:0005886///GO:0009986///GO:0030666///GO:0031012///GO:0070062,transcription corepressor activity///frizzled binding///cytokine activity///receptor ligand activity,branching involved in ureteric bud morphogenesis///kidney development///epithelial to mesenchymal transition///embryonic epithelial tube formation///liver development///fibroblast growth factor receptor signaling pathway///male gonad development///female gonad development///cellular response to starvation///negative regulation of gene expression///negative regulation of steroid biosynthetic process///regulation of cell-cell adhesion///neuron differentiation///female sex determination///adrenal gland development///negative regulation of cell migration///positive regulation of bone mineralization///positive regulation of aldosterone biosynthetic process///positive regulation of collagen biosynthetic process///immature T cell proliferation in thymus///non-canonical Wnt signaling pathway via MAPK cascade///negative regulation of fibroblast growth factor receptor signaling pathway///hormone metabolic process///positive regulation of GTPase activity///cell fate commitment///negative regulation of cell differentiation///positive regulation of osteoblast differentiation///positive regulation of meiotic nuclear division///negative regulation of DNA-templated transcription///positive regulation of DNA-templated transcription///oocyte development///smooth muscle cell differentiation///positive regulation of stress fiber assembly///positive regulation of focal adhesion assembly///Sertoli cell differentiation///canonical Wnt signaling pathway///somatotropin secreting cell differentiation///thyroid-stimulating hormone-secreting cell differentiation///mesenchymal to epithelial transition///tertiary branching involved in mammary gland duct morphogenesis///negative regulation of wound healing///mammary gland epithelium development///positive regulation of dermatome development///paramesonephric duct development///negative regulation of testicular blood vessel morphogenesis///cellular response to transforming growth factor beta stimulus///renal vesicle formation///renal vesicle induction///metanephric mesenchymal cell differentiation///metanephric tubule formation///metanephric nephron morphogenesis///apoptotic signaling pathway///meiotic nuclear division///pericyte cell differentiation///negative regulation of male gonad development///positive regulation of cortisol biosynthetic process///negative regulation of androgen biosynthetic process///negative regulation of testosterone biosynthetic process///negative regulation of apoptotic signaling pathway,extracellular region///extracellular space///cytoplasm///endoplasmic reticulum lumen///Golgi lumen///plasma membrane///cell surface///endocytic vesicle membrane///extracellular matrix///extracellular exosome
107985377,LOC107985377,uncharacterized LOC107985377,,ncRNA,,active,NC_000001.11,22252565,22257967,positive,690,,,,,,
105376859,LOC105376859,uncharacterized LOC105376859,,ncRNA,,active,NC_000001.11,23550472,23554862,negative,1713,,,,,,
259283,MDS2,myelodysplastic syndrome 2 translocation associated,,ncRNA,ENSG00000197880,active,NC_000001.11,23626953,23640568,positive,1410,,,GO:0005615,,,extracellular space
55629,PNRC2,proline rich nuclear receptor coactivator 2,,protein-coding,ENSG00000189266,active,NC_000001.11,23959164,23963462,positive,2493,GO:0005515,GO:0000184///GO:0031087,GO:0000932///GO:0005634///GO:0005654///GO:0005794///GO:0005829,protein binding,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay///deadenylation-independent decapping of nuclear-transcribed mRNA",P-body///nucleus///nucleoplasm///Golgi apparatus///cytosol
107985737,MYOM3-AS1,MYOM3 antisense RNA 1,,ncRNA,,active,NC_000001.11,24066009,24084296,positive,1953,,,,,,
105376864,LOC105376864,uncharacterized LOC105376864,,ncRNA,,active,NC_000001.11,24098018,24104540,positive,2423,,,,,,
